p_lat,p_lon,x_lat,x_lon
40.7824641,-73.9788209,40.7812676,-73.9759823
40.7825825048,-73.9787362416,40.7831525,-73.9783287
40.7825825048,-73.9787362416,40.7824641,-73.9788209
40.7832155515,-73.978478458,40.7831525,-73.9783287
40.7832155515,-73.978478458,40.7838162,-73.9799051
40.7831525,-73.9783287,40.780561,-73.98021
40.7831525,-73.9783287,40.783893,-73.9800838
40.782919132399996,-73.97849555580001,40.7824641,-73.9788209
40.782919132399996,-73.97849555580001,40.7831525,-73.9783287
40.783828,-73.9778254,40.7826312,-73.9749879
40.783828,-73.9778254,40.7844628,-73.9773621
40.7837638275,-73.9778732135,40.7831525,-73.9783287
40.7837638275,-73.9778732135,40.783828,-73.9778254
40.783688171499996,-73.9779295831,40.7831525,-73.9783287
40.783688171499996,-73.9779295831,40.783828,-73.9778254
40.78366588,-73.977946192,40.783828,-73.9778254
40.78366588,-73.977946192,40.7831525,-73.9783287
40.783637509,-73.9779673306,40.7831525,-73.9783287
40.783637509,-73.9779673306,40.783828,-73.9778254
40.7836381845,-73.97796682730001,40.7831525,-73.9783287
40.7836381845,-73.97796682730001,40.783828,-73.9778254
40.783893,-73.9800838,40.7849758,-73.9826602
40.7838162,-73.9799051,40.783893,-73.9800838
40.7838162,-73.9799051,40.7882867,-73.9764349
40.7832069,-73.9805809,40.7812676,-73.9759823
40.7832069,-73.9805809,40.7787921,-73.9820581
40.785659,-73.9802226,40.7852008,-73.9791229
40.785659,-73.9802226,40.7849758,-73.9826602
40.785747,-73.9784767,40.783896,-73.9740655
40.785747,-73.9784767,40.7882867,-73.9764349
40.7858192,-73.9786487,40.7852008,-73.9791229
40.7864652,-73.9781723,40.7849758,-73.9826602
40.7864652,-73.9781723,40.7787921,-73.9820581
40.7863933,-73.9780019,40.7849758,-73.9826602
40.7863933,-73.9780019,40.7882867,-73.9764349
40.7855658964,-73.9765568374,40.7857321,-73.9764355
40.7855658964,-73.9765568374,40.7850879,-73.9769058
40.785364906,-73.976703571,40.7850879,-73.9769058
40.785364906,-73.976703571,40.7857321,-73.9764355
40.7852289798,-73.97680280430001,40.7857321,-73.9764355
40.7852289798,-73.97680280430001,40.7850879,-73.9769058
40.785204500199995,-73.9768206757,40.7850879,-73.9769058
40.785204500199995,-73.9768206757,40.7857321,-73.9764355
40.7851581178,-73.9768545373,40.7857321,-73.9764355
40.7851581178,-73.9768545373,40.7850879,-73.9769058
40.7850879,-73.9769058,40.7940493,-73.970364
40.7850879,-73.9769058,40.783896,-73.9740655
40.7847203412,-73.97717410439999,40.7844628,-73.9773621
40.7847203412,-73.97717410439999,40.7850879,-73.9769058
40.785226917399996,-73.97918558289999,40.7852008,-73.9791229
40.785226917399996,-73.97918558289999,40.785659,-73.9802226
40.7852008,-73.9791229,40.783893,-73.9800838
40.785123,-73.9789382,40.7852008,-73.9791229
40.785123,-73.9789382,40.7882867,-73.9764349
40.7840013004,-73.97769891909999,40.7844628,-73.9773621
40.7840013004,-73.97769891909999,40.783828,-73.9778254
40.784031135999996,-73.977677144,40.7844628,-73.9773621
40.784031135999996,-73.977677144,40.783828,-73.9778254
40.784316796,-73.977468659,40.7844628,-73.9773621
40.784316796,-73.977468659,40.783828,-73.9778254
40.784311717600005,-73.97747236539999,40.783828,-73.9778254
40.784311717600005,-73.97747236539999,40.7844628,-73.9773621
40.7844628,-73.9773621,40.7883489,-73.9745254
40.7844628,-73.9773621,40.7852008,-73.9791229
40.7844628,-73.9773621,40.7831525,-73.9783287
40.7843910676,-73.97741445289999,40.7844628,-73.9773621
40.7843910676,-73.97741445289999,40.783828,-73.9778254
40.7857321,-73.9764355,40.7940493,-73.970364
